,ch,x,y,z,sub
0,ECOG_0,-26.720730423095645,38.971801409042996,48.509589173269504,bp
1,ECOG_1,-23.119168102800224,30.05402949808798,53.89116171464687,bp
2,ECOG_2,-32.755668572714406,20.41057730378061,57.680631957011194,bp
3,ECOG_3,-35.49134536661263,9.96038086139458,60.819838996938145,bp
4,ECOG_4,-33.92391117378343,-0.23767509088226801,63.03423888918784,bp
5,ECOG_5,-33.08564159286386,-10.549220593775932,66.56721351664343,bp
6,ECOG_6,-35.71792665153465,-21.676458940678543,67.54921479961197,bp
7,ECOG_7,-35.83584626995566,-33.43936501027693,67.89798482904149,bp
8,ECOG_8,-31.101959800725297,41.46246512315963,43.62804143854195,bp
9,ECOG_9,-36.88946309635419,31.338208938594125,46.98968019558082,bp
10,ECOG_10,-43.37391076280431,10.625105372150207,53.09675840501797,bp
11,ECOG_11,-42.22837215876204,0.6881385059128365,56.28706129164011,bp
12,ECOG_12,-46.459278096725576,-10.658814745208439,57.8171340836556,bp
13,ECOG_13,-44.966292994370924,-21.134172576470025,59.24399880084801,bp
14,ECOG_14,-47.426304159845586,-33.23923169683419,59.55870493248073,bp
15,ECOG_15,-39.83730277358733,43.479589044033105,36.22958425712413,bp
16,ECOG_16,-43.42729902041422,33.37154565241284,39.40285519484788,bp
17,ECOG_17,-47.69314887089273,23.14106411424548,41.99399072572784,bp
18,ECOG_18,-52.11415406620136,11.761685277233685,43.90079915637359,bp
19,ECOG_19,-52.052090518234515,1.1566251024100234,46.834606428087,bp
20,ECOG_20,-53.58429097341304,-9.677098572562594,48.41577506679773,bp
21,ECOG_21,-52.28554836768336,-20.820549712410465,49.586144169081365,bp
22,ECOG_22,-54.28547161310586,-32.90939603982936,49.712482481398965,bp
23,ECOG_23,-44.361813555989144,44.5675305702808,27.598728466425136,bp
24,ECOG_24,-48.63365893823932,34.52433835044159,30.01852812688838,bp
25,ECOG_25,-51.946032718886,23.4708997712503,32.147768274646076,bp
26,ECOG_26,-57.54934594492613,12.262597459621391,34.071608654190236,bp
27,ECOG_27,-59.44515399899571,1.616163102976918,35.481441422484224,bp
28,ECOG_28,-59.69713122739967,-10.553747189168275,36.54961883137745,bp
29,ECOG_29,-61.0571703189258,-21.20018154581275,37.95945159967145,bp
30,ECOG_30,-60.71887323016263,-32.79201109002825,38.32525357799938,bp
31,ECOG_31,-46.477128336719936,44.97843019201191,16.81066691876774,bp
32,ECOG_32,-51.84984793793455,34.42200839602404,19.17937073253577,bp
33,ECOG_33,-55.98862326202524,23.21370608439513,21.103211112079926,bp
34,ECOG_34,-59.74674158436179,12.208905884039618,22.66734780189224,bp
35,ECOG_35,-60.311837771635226,0.861952632918343,24.19742059390774,bp
36,ECOG_36,-63.39128731204509,-10.362562471655826,26.30962879276702,bp
37,ECOG_37,-64.08629547332993,-22.157894127144733,27.03513446082681,bp
38,ECOG_38,-65.03500096250033,-32.89434104444579,27.486096183646772,bp
39,ECOG_39,-50.14328109338717,44.11799436835149,4.756142864032353,bp
40,ECOG_40,-55.290435696870915,32.861053677886815,7.245086701521891,bp
41,ECOG_41,-56.64754803957211,22.19840652829707,8.843287289131009,bp
42,ECOG_42,-57.94114311965875,10.99010421666816,10.767127668675167,bp
43,ECOG_43,-60.287201428973304,0.0015168092579183265,12.142896539172353,bp
44,ECOG_44,-64.87310060334725,-10.693555926222333,14.117832765411723,bp
45,ECOG_45,-65.80861114728755,-22.350236642218867,15.237106021000162,bp
46,ECOG_46,-64.59795701797715,-33.64855151450437,16.202075355070292,bp
0,ECOG_0,47.96005068714525,32.27325525486966,-14.61847098674604,ca
1,ECOG_1,49.96617955517174,26.941419840248845,-13.499332937640597,ca
2,ECOG_2,54.545332906929275,18.79210200981539,-12.100460236052895,ca
3,ECOG_3,58.60278447536496,7.596724218223091,-10.345543482289914,ca
4,ECOG_4,61.797540726250865,-2.7976477785832485,-9.254558393691472,ca
5,ECOG_5,67.8310897583672,-23.702649317017567,-6.240735984170127,ca
6,ECOG_6,67.79740757990352,-34.973563366342425,-4.724948608002128,ca
7,ECOG_7,55.85511718297701,31.82630548296401,-3.2345220438712547,ca
8,ECOG_8,56.09970960215211,28.854797393463443,-2.242499847862031,ca
9,ECOG_9,58.58648653469084,20.66574266201518,-0.1694943025938692,ca
10,ECOG_10,59.181256739089086,9.281524226091495,0.9017208326441304,ca
11,ECOG_11,63.26337201532249,-0.6169401650819065,1.5053176346958437,ca
12,ECOG_12,65.83811590766013,-10.898992161363687,3.1912779106013875,ca
13,ECOG_13,67.19122047664156,-21.751503634936693,4.689082507935843,ca
14,ECOG_14,67.06020905337003,-33.21322710074146,6.25190384523274,ca
15,ECOG_15,56.34756188889756,35.07436456546379,6.43516804552033,ca
16,ECOG_16,57.02803668837934,30.57736553019813,8.4093197364586,ca
17,ECOG_17,60.47332312518484,21.514721904454156,9.602906354568894,ca
18,ECOG_18,60.79746298674666,10.890787976227347,11.03103715218364,ca
19,ECOG_19,64.48982233821373,0.8382979113660312,12.284983450499107,ca
20,ECOG_20,66.21937445920186,-10.01421356220697,13.782788047833561,ca
21,ECOG_21,65.62855533081328,-20.55768930232988,13.617553474770142,ca
22,ECOG_22,66.12394843128067,-31.257159488289236,14.827348753711213,ca
23,ECOG_23,50.43427745804411,38.77564119435887,17.133608460530372,ca
24,ECOG_24,53.4815961394218,32.18662928033398,18.538636055998104,ca
25,ECOG_25,57.923031207044694,22.66584617782334,20.23391045141819,ca
26,ECOG_26,61.82675456912476,11.928607862997703,21.334537971022428,ca
27,ECOG_27,63.6163089848909,1.9894221847352218,22.915987547348404,ca
28,ECOG_28,64.03299430658906,-8.289676653323754,23.514927289642845,ca
29,ECOG_29,65.35892173415826,-19.137266196525413,23.20103099762547,ca
30,ECOG_30,66.21376421091085,-29.985840125801346,23.249474883478456,ca
31,ECOG_31,47.331913463414146,40.99608570887502,26.473227684366698,ca
32,ECOG_32,48.105201993172734,32.882567235159314,28.58430739654609,ca
33,ECOG_33,54.06117797478619,23.171959102243022,30.096083173152362,ca
34,ECOG_34,57.636052160734636,13.195005295114267,31.568364990141504,ca
35,ECOG_35,59.462897055419724,2.7608963972931035,33.17999440657006,ca
36,ECOG_36,62.623603566273864,-19.202597135471226,33.23738821865891,ca
37,ECOG_37,37.73330224231468,42.796158875490796,36.42370244484966,ca
38,ECOG_38,41.834682253294794,33.46421641731155,38.66481563695393,ca
39,ECOG_39,45.57462057016055,23.754592670469528,39.81425123568984,ca
40,ECOG_40,50.06309370767708,13.243963128841548,41.56988531131509,ca
41,ECOG_41,55.18671561490374,-7.545765250845404,43.92445912923479,ca
42,ECOG_42,59.50944545949287,-29.85114071555476,43.724023463032836,ca
43,ECOG_43,26.676022850071604,42.99815799683173,46.137213447629875,ca
44,ECOG_44,35.661500289388265,33.021204189702964,47.60949526461902,ca
45,ECOG_45,37.12737467456974,23.38514792844496,49.70194673776932,ca
46,ECOG_46,43.19622288557834,12.876487158965524,50.73290045765384,ca
47,ECOG_47,45.213664148241996,3.0128377384355916,52.53268555265349,ca
48,ECOG_48,49.12652509239442,-8.486653856235456,53.98633913061356,ca
49,ECOG_49,50.92624461697494,-18.38314947526032,53.865255576924525,ca
50,ECOG_50,51.45455112777525,-29.573605336481275,53.65586998448671,ca
51,ECOG_51,16.986113407413807,41.57120564655143,52.96821168827792,ca
52,ECOG_52,22.800993065792998,32.31479944610472,55.427660399055846,ca
53,ECOG_53,25.34625296853187,22.828831314237554,58.31912308742387,ca
54,ECOG_54,28.179098023419662,13.308048211726923,60.01439748284396,ca
55,ECOG_55,37.111129240987275,2.4952736391687367,60.89668948377452,ca
56,ECOG_56,38.4036301450873,-8.241964675656904,61.99731700337876,ca
57,ECOG_57,42.145492051437245,-18.826161702868898,62.80993520458961,ca
58,ECOG_58,41.561634995748484,-30.399220783123962,63.320572908135254,ca
0,ECOG_0,20.701458402123237,-50.232683399022804,68.48500619818255,cc
